#separator:Comma
#html:true
#notetype:Basic
#deck:Saudi::Stage 3 — Talking to her
#tags column:3
"<div dir=""rtl"" style=""font-size:2em"">وش تسوين؟</div>","<b>wesh tsawwīn?</b><br>EN: what are you doing?","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">وينك؟</div>","<b>wēnik?</b><br>EN: where are you?","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">نمتي زين؟</div>","<b>nimti zēn?</b><br>EN: did you sleep well?","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">كيف كان يومك؟</div>","<b>kēf kān yōmik?</b><br>EN: how was your day?","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">وش صار؟</div>","<b>wesh ṣār?</b><br>EN: what happened?","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">صار شي؟</div>","<b>ṣār shay?</b><br>EN: did something happen?","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">فاضية؟</div>","<b>fāẓya?</b><br>EN: are you free?","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">أنا بالدوام</div>","<b>ana bid-dawām</b><br>EN: I'm at work","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">توني صحيت</div>","<b>tawwni ṣiḥēt</b><br>EN: I just woke up","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">توني خلصت</div>","<b>tawwni khallaṣt</b><br>EN: I just finished","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">بنام</div>","<b>banām</b><br>EN: I'm going to sleep","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">برجع بعد ساعة</div>","<b>barjaʿ baʿad sāʿa</b><br>EN: I'll be back in an hour","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">أكلمك بعدين</div>","<b>akallimik baʿdēn</b><br>EN: I'll call you later","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">لحظة</div>","<b>laḥẓa</b><br>EN: one moment","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">دقيقة وأرجع</div>","<b>dagīga w arjaʿ</b><br>EN: one minute, I'll be back","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">قاعد أشتغل</div>","<b>gāʿid ashtaghil</b><br>EN: I'm working right now","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">ما بعد أكلت</div>","<b>ma baʿad akalt</b><br>EN: I haven't eaten yet","stage-3 topic-3.1"
"<div dir=""rtl"" style=""font-size:2em"">اشتقت لك</div>","<b>ishtagt lik</b><br>EN: I missed you","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">مشتاق لك</div>","<b>mishtāg lik</b><br>EN: I miss you<br><i>Said by a man</i>","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">أحبك</div>","<b>aḥibbik</b><br>EN: I love you","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">حبيبتي</div>","<b>ḥabībti</b><br>EN: my love","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">يا عمري</div>","<b>ya ʿumri</b><br>EN: my life","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">يا قلبي</div>","<b>ya galbi</b><br>EN: my heart","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">فديتك</div>","<b>fidētik</b><br>EN: sweetheart (lit. ""I'd give myself for you"")","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">يا بعد حيي</div>","<b>ya baʿad ḥayyi</b><br>EN: endearment<br><i>check</i><br>⚠ check with tutor","stage-3 topic-3.2 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">ودي أشوفك</div>","<b>widdi ashūfik</b><br>EN: I wish I could see you","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">انتي أحلى شي</div>","<b>inti aḥla shay</b><br>EN: you're the best thing","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">الله يحفظك</div>","<b>allah yiḥfaẓik</b><br>EN: God keep you safe","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">تبين شي؟</div>","<b>tibīn shay?</b><br>EN: do you need anything?","stage-3 topic-3.2"
"<div dir=""rtl"" style=""font-size:2em"">يا حليلك</div>","<b>ya ḥalīlik</b><br>EN: aww, how sweet<br>⚠ check with tutor","stage-3 topic-3.3 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">معك حق</div>","<b>maʿik ḥagg</b><br>EN: you're right","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">أنا معك</div>","<b>ana maʿik</b><br>EN: I agree with you","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">لا تزعلين</div>","<b>la tizʿalīn</b><br>EN: don't be upset","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">آسف</div>","<b>āsif</b><br>EN: sorry<br><i>Said by a man</i>","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">سامحيني</div>","<b>sāmḥīni</b><br>EN: forgive me","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">ما فهمت</div>","<b>ma fhimt</b><br>EN: I didn't understand","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">عيدي</div>","<b>ʿīdi</b><br>EN: say it again","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">شوي شوي</div>","<b>shwayy shwayy</b><br>EN: slowly, please","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">وش معنى…؟</div>","<b>wesh maʿna…?</b><br>EN: what does … mean?","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">كيف أقول…؟</div>","<b>kēf agūl…?</b><br>EN: how do I say …?<br><i>Your most useful sentence</i>","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">علميني</div>","<b>ʿallimīni</b><br>EN: teach me","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">ماني فاهم</div>","<b>māni fāhim</b><br>EN: I'm not getting it","stage-3 topic-3.3"
"<div dir=""rtl"" style=""font-size:2em"">وش ودك تسوين؟</div>","<b>wesh widdik tsawwīn?</b><br>EN: what would you like to do?","stage-3 topic-3.4"
